alg,pacgums,score,time,win
BFS_Gum,176,2080.0,52.84768176078797,False
BFS_Rand,176,1840.0,90.09239220619202,False
BFS_Agress,86,1580.0,46.29216837882996,False
A_Star_Agress,187,4030.0,78.58029770851135,False
A_Star_Rand,93,970.0,42.63254880905152,False
Dijkstra_Rand,40,400.0,40.319509744644165,False
BFS_Mod,244,2600.0,575.3612456321716,True
Rand_Dir,48,480.0,59.32085990905762,False
Rand_Dir_Legal,18,180.0,41.86246275901794,False
Rand_Dir_Hold,84,880.0,65.8635938167572,False
Rand_Dir_Charge,142,1540.0,63.98906135559082,False
Rand_Dir_Legal_Hold,62,620.0,44.02186870574951,False
Rand_Turn,78,820.0,54.444589138031006,False
Rand_Turn_Legal,45,450.0,49.20500206947327,False
BFS_Gum,146,1500.0,51.45306849479675,False
BFS_Rand,64,880.0,38.69055604934693,False
BFS_Agress,131,14870.0,65.91195702552795,False
A_Star_Agress,130,3360.0,62.57977294921875,False
A_Star_Rand,94,1280.0,59.29300045967102,False
Dijkstra_Rand,41,410.0,40.22973394393921,False
